Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,PHO,75.61,85.37,65.85,78.57,74.07,79.17,70.59,64.71,87.18
2,NYK,73.17,90.24,56.1,75.0,69.23,68.0,81.25,46.15,75.0
3,CHI,69.51,75.61,63.41,69.64,69.23,67.31,73.33,46.15,86.11
4,HOU,67.07,75.61,58.54,67.86,66.67,58.82,80.65,60.0,69.77
5,SEA,67.07,80.49,53.66,60.71,70.37,66.0,68.75,45.45,82.22
6,CLE,65.85,85.37,46.34,66.07,65.38,64.15,68.97,36.36,87.18
7,POR,62.2,73.17,51.22,53.57,66.67,65.96,57.14,60.0,58.7
8,SAS,59.76,75.61,43.9,60.71,59.26,69.39,45.45,58.33,70.27
9,BOS,58.54,68.29,48.78,58.93,57.69,52.0,68.75,75.0,53.85
10,UTA,57.32,68.29,46.34,64.29,53.7,64.71,45.16,55.56,55.56
11,CHO,53.66,53.66,53.66,51.79,57.69,53.06,54.55,66.67,42.42
12,ATL,52.44,60.98,43.9,46.43,65.38,47.06,61.29,25.0,44.68
13,NJN,52.44,63.41,41.46,48.21,61.54,58.82,41.94,55.56,50.0
14,IND,50.0,65.85,34.15,48.21,53.85,45.1,58.06,42.86,53.33
15,LAC,50.0,65.85,34.15,50.0,50.0,50.98,48.39,38.46,52.78
16,ORL,50.0,65.85,34.15,48.21,53.85,51.06,48.57,43.75,56.25
17,DET,48.78,68.29,29.27,55.36,34.62,42.0,59.38,52.94,41.94
18,LAL,47.56,48.78,46.34,46.43,48.15,53.06,39.39,68.42,32.5
19,DEN,43.9,68.29,19.51,39.29,46.3,40.0,50.0,45.45,50.0
20,MIA,43.9,63.41,24.39,39.29,53.85,36.73,54.55,42.86,45.0
21,GSW,41.46,46.34,36.59,32.14,46.3,43.4,37.93,37.5,43.18
22,MIL,34.15,43.9,24.39,35.71,30.77,39.22,25.81,46.15,30.23
23,PHI,31.71,36.59,26.83,32.14,30.77,36.73,24.24,55.56,27.5
24,SAC,30.49,39.02,21.95,25.0,33.33,33.33,25.81,33.33,31.58
25,WSB,26.83,36.59,17.07,25.0,30.77,29.41,22.58,23.08,17.5
26,MIN,23.17,26.83,19.51,17.86,25.93,25.53,20.0,50.0,20.0
27,DAL,13.41,17.07,9.76,21.43,9.26,8.16,21.21,83.33,3.33
