Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,SAS,70.73,80.49,60.98,63.33,75.0,65.96,77.14,30.0,86.96
2,LAL,68.29,75.61,60.98,73.33,65.38,65.96,71.43,66.67,64.86
3,PHI,68.29,70.73,65.85,74.07,57.14,72.0,62.5,60.0,68.42
4,SAC,67.07,80.49,53.66,66.67,67.31,67.39,66.67,40.0,77.78
5,DAL,64.63,68.29,60.98,76.67,57.69,62.0,68.75,44.44,66.67
6,UTA,64.63,68.29,60.98,73.33,59.62,68.09,60.0,55.56,77.5
7,MIL,63.41,75.61,51.22,70.37,50.0,61.7,65.71,30.0,62.5
8,PHO,62.2,75.61,48.78,70.0,57.69,58.33,67.65,63.64,58.06
9,MIA,60.98,70.73,51.22,62.96,57.14,60.0,62.5,50.0,60.0
10,POR,60.98,68.29,53.66,80.0,50.0,70.0,46.88,50.0,69.05
11,NYK,58.54,73.17,43.9,59.26,57.14,61.7,54.29,70.59,63.16
12,MIN,57.32,73.17,41.46,66.67,51.92,64.0,46.88,63.64,61.11
13,TOR,57.32,65.85,48.78,66.67,39.29,53.06,63.64,46.15,63.41
14,CHO,56.1,68.29,43.9,68.52,32.14,50.98,64.52,46.67,67.65
15,HOU,54.88,58.54,51.22,83.33,38.46,50.0,62.5,28.57,64.1
16,SEA,53.66,63.41,43.9,56.67,51.92,53.85,53.33,71.43,52.63
17,ORL,52.44,63.41,41.46,55.56,46.43,52.08,52.94,50.0,55.26
18,IND,50.0,63.41,36.59,53.7,42.86,43.75,58.82,50.0,46.15
19,DEN,48.78,70.73,26.83,43.33,51.92,52.94,41.94,66.67,35.9
20,BOS,43.9,48.78,39.02,44.44,42.86,44.9,42.42,58.82,35.48
21,DET,39.02,43.9,34.15,46.3,25.0,38.0,40.62,40.0,48.48
22,LAC,37.8,53.66,21.95,43.33,34.62,32.0,46.88,38.46,34.21
23,CLE,36.59,48.78,24.39,40.74,28.57,42.55,28.57,54.55,27.03
24,NJN,31.71,43.9,19.51,29.63,35.71,33.33,29.03,43.75,25.58
25,ATL,30.49,43.9,17.07,29.63,32.14,32.65,27.27,55.56,28.57
26,VAN,28.05,36.59,19.51,40.0,21.15,26.53,30.3,21.43,26.0
27,WAS,23.17,29.27,17.07,24.07,21.43,24.49,21.21,30.0,11.43
28,GSW,20.73,26.83,14.63,26.67,17.31,31.25,5.88,54.55,13.04
29,CHI,18.29,24.39,12.2,24.07,7.14,12.5,26.47,42.86,7.5
