Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Dallas Mavericks,81.71,87.8,75.61,90.0,76.92,83.02,79.31,80.0,80.0
2,Phoenix Suns,74.39,80.49,68.29,83.33,69.23,75.0,73.33,55.56,88.89
3,San Antonio Spurs,70.73,75.61,65.85,66.67,73.08,66.04,79.31,37.5,83.33
4,Detroit Pistons,64.63,63.41,65.85,69.23,56.67,62.75,67.74,37.5,77.42
5,Houston Rockets,63.41,68.29,58.54,80.0,53.85,63.46,63.33,50.0,65.79
6,Utah Jazz,62.2,75.61,48.78,63.33,61.54,67.31,53.33,50.0,70.27
7,Cleveland Cavaliers,60.98,73.17,48.78,59.62,63.33,58.49,65.52,56.25,69.44
8,Chicago Bulls,59.76,75.61,43.9,69.23,43.33,53.7,71.43,50.0,65.12
9,Toronto Raptors,57.32,73.17,41.46,63.46,46.67,54.72,62.07,64.71,56.1
10,Denver Nuggets,54.88,56.1,53.66,60.0,51.92,50.98,61.29,30.0,57.5
11,Miami Heat,53.66,65.85,41.46,51.92,56.67,50.0,60.0,68.42,42.11
12,Golden State Warriors,51.22,73.17,29.27,46.67,53.85,46.3,60.71,50.0,55.32
13,Los Angeles Lakers,51.22,60.98,41.46,46.67,53.85,55.56,42.86,55.56,52.94
14,New Jersey Nets,50.0,58.54,41.46,59.62,33.33,46.3,57.14,42.86,50.0
15,Washington Wizards,50.0,63.41,36.59,51.92,46.67,58.0,37.5,63.16,54.29
16,Orlando Magic,48.78,60.98,36.59,50.0,46.67,50.94,44.83,58.82,51.28
17,Los Angeles Clippers,48.78,60.98,36.59,56.67,44.23,47.17,51.72,45.45,44.44
18,New Orleans/Oklahoma City Hornets,47.56,58.54,36.59,53.33,44.23,47.17,48.28,56.25,40.0
19,Indiana Pacers,42.68,53.66,31.71,48.08,33.33,53.85,23.33,41.67,42.86
20,Philadelphia 76ers,42.68,51.22,34.15,46.15,36.67,32.08,62.07,52.94,32.43
21,Charlotte Bobcats,40.24,48.78,31.71,46.15,30.0,36.54,46.67,33.33,39.47
22,New York Knicks,40.24,46.34,34.15,42.31,36.67,43.4,34.48,50.0,30.3
23,Sacramento Kings,40.24,48.78,31.71,50.0,34.62,43.14,35.48,45.45,42.42
24,Minnesota Timberwolves,39.02,48.78,29.27,46.67,34.62,48.08,23.33,41.18,26.47
25,Portland Trail Blazers,39.02,43.9,34.15,43.33,36.54,40.74,35.71,61.11,23.68
26,Seattle SuperSonics,37.8,48.78,26.83,43.33,34.62,38.46,36.67,50.0,37.84
27,Atlanta Hawks,36.59,43.9,29.27,32.69,43.33,40.38,30.0,50.0,26.83
28,Milwaukee Bucks,34.15,43.9,24.39,28.85,43.33,35.85,31.03,33.33,26.32
29,Boston Celtics,29.27,29.27,29.27,30.77,26.67,25.49,35.48,25.0,25.93
30,Memphis Grizzlies,26.83,34.15,19.51,26.67,26.92,25.93,28.57,29.41,23.53
