Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Boston Celtics,63-19,35-6,28-13,43-15,20-4,41-9,22-10,7-4,37-7
2,Los Angeles Lakers,62-20,36-5,26-15,15-7,47-13,35-16,27-4,5-9,31-9
3,Milwaukee Bucks,59-23,36-5,23-18,39-19,20-4,34-17,25-6,8-8,38-6
4,Philadelphia 76ers,58-24,34-7,24-17,40-18,18-6,39-10,19-14,11-5,26-8
5,Denver Nuggets,52-30,34-7,18-23,15-7,37-23,31-20,21-10,10-7,26-15
6,Houston Rockets,48-34,29-12,19-22,12-10,36-24,28-21,20-13,9-4,21-14
7,Detroit Pistons,46-36,26-15,20-21,31-27,15-9,30-19,16-17,6-10,20-14
8,Dallas Mavericks,44-38,24-17,20-21,11-11,33-27,27-23,17-15,6-8,20-21
9,New Jersey Nets,42-40,27-14,15-26,34-24,8-16,24-26,18-14,9-7,18-22
10,Portland Trail Blazers,42-40,30-11,12-29,13-9,29-31,22-28,20-12,2-7,30-16
11,San Antonio Spurs,41-41,30-11,11-30,10-12,31-29,25-25,16-16,6-10,18-18
12,Utah Jazz,41-41,26-15,15-26,9-13,32-28,23-27,18-14,9-5,19-19
13,Washington Bullets,40-42,28-13,12-29,28-30,12-12,28-24,12-18,8-5,16-14
14,Chicago Bulls,38-44,26-15,12-29,24-34,14-10,24-25,14-19,11-7,13-16
15,Cleveland Cavaliers,36-46,20-21,16-25,25-33,11-13,16-33,20-13,9-5,11-22
16,Phoenix Suns,36-46,26-15,10-31,9-13,27-33,25-25,11-21,6-4,17-23
17,Atlanta Hawks,34-48,19-22,15-26,25-33,9-15,21-29,13-19,6-12,17-22
18,Kansas City Kings,31-51,23-18,8-33,9-13,22-38,16-33,15-18,4-9,12-22
19,Los Angeles Clippers,31-51,20-21,11-30,5-17,26-34,20-30,11-21,8-5,11-26
20,Seattle SuperSonics,31-51,20-21,11-30,8-14,23-37,21-30,10-21,8-6,12-31
21,New York Knicks,24-58,19-22,5-36,16-42,8-16,18-33,6-25,8-10,7-30
22,Golden State Warriors,22-60,17-24,5-36,5-17,17-43,11-38,11-22,6-7,6-27
23,Indiana Pacers,22-60,16-25,6-35,14-44,8-16,16-34,6-26,5-13,6-30
