Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Los Angeles Lakers,76.83,90.24,63.41,73.08,78.57,76.09,77.78,46.15,81.08
2,Detroit Pistons,71.95,85.37,58.54,74.07,67.86,71.43,72.73,60.0,80.0
3,Portland Trail Blazers,71.95,85.37,58.54,69.23,73.21,71.74,72.22,53.85,80.49
4,San Antonio Spurs,68.29,82.93,53.66,61.54,71.43,69.57,66.67,76.92,71.88
5,Chicago Bulls,67.07,87.8,46.34,68.52,64.29,59.57,77.14,53.33,68.42
6,Utah Jazz,67.07,87.8,46.34,65.38,67.86,70.21,62.86,72.73,70.0
7,Phoenix Suns,65.85,78.05,53.66,61.54,67.86,62.22,70.27,54.55,84.44
8,Philadelphia 76ers,64.63,82.93,46.34,68.52,57.14,62.5,67.65,50.0,71.43
9,Boston Celtics,63.41,73.17,53.66,66.67,57.14,60.87,66.67,63.64,73.17
10,Dallas Mavericks,57.32,73.17,41.46,69.23,51.79,54.17,61.76,70.0,51.28
11,New York Knicks,54.88,70.73,39.02,55.56,53.57,66.67,38.24,40.0,52.63
12,Milwaukee Bucks,53.66,65.85,41.46,51.85,57.14,55.1,51.52,47.06,50.0
13,Denver Nuggets,52.44,68.29,36.59,57.69,50.0,56.52,47.22,69.23,54.55
14,Cleveland Cavaliers,51.22,65.85,36.59,55.56,42.86,45.65,58.33,75.0,52.38
15,Indiana Pacers,51.22,68.29,34.15,55.56,42.86,52.08,50.0,61.54,51.52
16,Houston Rockets,50.0,75.61,24.39,50.0,50.0,46.81,54.29,27.27,58.54
17,Atlanta Hawks,50.0,60.98,39.02,50.0,50.0,47.83,52.78,62.5,52.78
18,Seattle SuperSonics,50.0,73.17,26.83,57.69,46.43,48.89,51.35,45.45,50.0
19,Golden State Warriors,45.12,65.85,24.39,50.0,42.86,48.94,40.0,58.33,36.17
20,Washington Bullets,37.8,48.78,26.83,37.04,39.29,36.73,39.39,25.0,36.84
21,Los Angeles Clippers,36.59,48.78,24.39,50.0,30.36,44.68,25.71,40.0,34.38
22,Sacramento Kings,28.05,39.02,17.07,34.62,25.0,26.09,30.56,35.71,23.81
23,Minnesota Timberwolves,26.83,41.46,12.2,38.46,21.43,21.74,33.33,31.25,23.81
24,Charlotte Hornets,23.17,31.71,14.63,23.08,23.21,17.78,29.73,50.0,14.89
25,Miami Heat,21.95,26.83,17.07,20.37,25.0,20.41,24.24,36.36,13.04
26,Orlando Magic,21.95,29.27,14.63,22.22,21.43,29.79,11.43,36.36,9.52
27,New Jersey Nets,20.73,31.71,9.76,24.07,14.29,25.53,14.29,30.0,12.82
