Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Chicago Bulls,62-20,36-5,26-15,39-13,23-7,38-16,24-4,9-5,31-5
2,San Antonio Spurs,61-21,36-5,25-16,23-7,38-14,46-10,15-11,7-4,32-9
3,Miami Heat,58-24,30-11,28-13,38-14,20-10,41-15,17-9,2-8,35-6
4,Dallas Mavericks,57-25,29-12,28-13,22-8,35-17,40-16,17-9,10-6,22-8
5,Los Angeles Lakers,57-25,30-11,27-14,21-9,36-16,38-19,19-6,4-4,30-9
6,Boston Celtics,56-26,33-8,23-18,37-15,19-11,40-14,16-12,8-8,30-7
7,Oklahoma City Thunder,55-27,30-11,25-16,22-8,33-19,35-19,20-8,10-5,22-8
8,Orlando Magic,52-30,29-12,23-18,36-16,16-14,36-21,16-9,6-7,33-9
9,Denver Nuggets,50-32,33-8,17-24,20-10,30-22,32-25,18-7,7-8,29-10
10,Portland Trail Blazers,48-34,30-11,18-23,18-12,30-22,32-24,16-10,7-4,19-15
11,Memphis Grizzlies,46-36,30-11,16-25,16-14,30-22,31-26,15-10,9-10,23-12
12,New Orleans Hornets,46-36,28-13,18-23,19-11,27-25,33-25,13-11,8-6,16-17
13,Atlanta Hawks,44-38,24-17,20-21,31-21,13-17,34-21,10-17,7-1,21-21
14,Houston Rockets,43-39,25-16,18-23,18-12,25-27,26-31,17-8,7-8,21-11
15,New York Knicks,42-40,23-18,19-22,28-24,14-16,28-26,14-14,4-5,18-14
16,Philadelphia 76ers,41-41,26-15,15-26,25-27,16-14,27-29,14-12,3-8,26-13
17,Phoenix Suns,40-42,23-18,17-24,17-13,23-29,27-27,13-15,7-6,15-18
18,Utah Jazz,39-43,21-20,18-23,18-12,21-31,31-26,8-17,6-4,16-24
19,Indiana Pacers,37-45,24-17,13-28,28-24,9-21,24-30,13-15,7-6,19-28
20,Golden State Warriors,36-46,26-15,10-31,15-15,21-31,26-29,10-17,4-4,14-24
21,Milwaukee Bucks,35-47,22-19,13-28,26-26,9-21,21-34,14-13,3-8,16-21
22,Charlotte Bobcats,34-48,21-20,13-28,22-30,12-18,24-32,10-16,11-7,9-24
23,Los Angeles Clippers,32-50,23-18,9-32,13-17,19-33,21-35,11-15,4-5,9-24
24,Detroit Pistons,30-52,21-20,9-32,22-30,8-22,21-36,9-16,3-7,13-27
25,New Jersey Nets,24-58,19-22,5-36,13-39,11-19,17-40,7-18,7-7,4-34
26,Sacramento Kings,24-58,11-30,13-28,9-21,15-37,13-40,11-18,8-8,7-23
27,Washington Wizards,23-59,20-21,3-38,16-36,7-23,15-39,8-20,8-2,7-36
28,Toronto Raptors,22-60,16-25,6-35,14-38,8-22,15-41,7-19,2-7,8-30
29,Cleveland Cavaliers,19-63,12-29,7-34,15-37,4-26,10-46,9-17,2-5,2-38
30,Minnesota Timberwolves,17-65,12-29,5-36,10-20,7-45,13-43,4-22,3-10,11-33
