Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Los Angeles Lakers,67-15,36-5,31-10,27-3,40-12,37-11,30-4,8-1,34-7
2,Portland Trail Blazers,59-23,30-11,29-12,21-9,38-14,38-11,21-12,4-7,32-7
3,Indiana Pacers,56-26,36-5,20-21,36-18,20-8,32-16,24-10,8-5,28-13
4,Utah Jazz,55-27,31-10,24-17,22-8,33-19,29-18,26-9,7-8,31-9
5,Phoenix Suns,53-29,32-9,21-20,23-7,30-22,29-19,24-10,7-9,27-10
6,San Antonio Spurs,53-29,31-10,22-19,20-10,33-19,32-17,21-12,8-7,31-11
7,Miami Heat,52-30,33-8,19-22,34-20,18-10,30-17,22-13,9-2,26-15
8,Minnesota Timberwolves,50-32,26-15,24-17,18-12,32-20,27-20,23-12,11-4,23-15
9,New York Knicks,50-32,33-8,17-24,32-22,18-10,29-18,21-14,9-5,20-13
10,Charlotte Hornets,49-33,30-11,19-22,36-18,13-15,27-20,22-13,7-5,24-16
11,Philadelphia 76ers,49-33,29-12,20-21,36-18,13-15,27-22,22-11,17-8,18-14
12,Seattle SuperSonics,45-37,24-17,21-20,14-16,31-21,31-20,14-17,8-7,22-17
13,Toronto Raptors,45-37,26-15,19-22,29-25,16-12,26-21,19-16,13-4,20-20
14,Sacramento Kings,44-38,30-11,14-27,19-11,25-27,30-18,14-20,3-6,28-16
15,Detroit Pistons,42-40,27-14,15-26,30-24,12-16,25-23,17-17,6-6,21-16
16,Milwaukee Bucks,42-40,23-18,19-22,28-26,14-14,26-24,16-16,11-7,18-17
17,Orlando Magic,41-41,26-15,15-26,27-27,14-14,24-26,17-15,6-7,20-16
18,Dallas Mavericks,40-42,22-19,18-23,12-18,28-24,20-28,20-14,6-7,18-19
19,Boston Celtics,35-47,26-15,9-32,24-30,11-17,21-28,14-19,4-13,18-19
20,Denver Nuggets,35-47,25-16,10-31,13-17,22-30,21-27,14-20,10-8,12-27
21,Houston Rockets,34-48,22-19,12-29,11-19,23-29,20-30,14-18,6-7,16-22
22,Cleveland Cavaliers,32-50,22-19,10-31,20-34,12-16,19-30,13-20,7-11,12-21
23,New Jersey Nets,31-51,22-19,9-32,21-33,10-18,19-30,12-21,6-14,15-15
24,Washington Wizards,29-53,17-24,12-29,19-35,10-18,15-34,14-19,2-10,15-22
25,Atlanta Hawks,28-54,21-20,7-34,20-34,8-20,19-28,9-26,4-7,11-32
26,Vancouver Grizzlies,22-60,12-29,10-31,10-20,12-40,14-34,8-26,5-10,10-33
27,Golden State Warriors,19-63,12-29,7-34,10-20,9-43,12-35,7-28,2-4,10-39
28,Chicago Bulls,17-65,12-29,5-36,13-41,4-24,10-37,7-28,6-9,3-38
29,Los Angeles Clippers,15-67,10-31,5-36,7-23,8-44,11-38,4-29,3-5,3-47
