Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,BOS,76.83,85.37,68.29,81.03,66.67,74.42,79.49,76.47,78.38
2,PHI,70.73,78.05,63.41,68.97,75.0,68.18,73.68,56.25,84.38
3,LAL,69.51,73.17,65.85,59.09,73.33,72.09,66.67,65.0,81.82
4,MIL,67.07,75.61,58.54,70.69,58.33,67.44,66.67,40.0,78.95
5,SEA,63.41,75.61,51.22,68.18,61.67,69.05,57.5,60.0,70.27
6,SAS,58.54,70.73,46.34,59.09,58.33,66.67,50.0,57.14,61.54
7,DEN,56.1,70.73,41.46,54.55,56.67,53.49,58.97,58.33,57.89
8,HOU,56.1,60.98,51.22,50.0,58.33,48.84,64.1,58.33,48.39
9,PHO,56.1,75.61,36.59,63.64,53.33,58.54,53.66,50.0,70.59
10,GSW,54.88,68.29,41.46,59.09,53.33,56.1,53.66,58.82,51.35
11,NJN,53.66,60.98,46.34,53.45,54.17,44.19,64.1,42.86,52.5
12,WSB,52.44,53.66,51.22,53.45,50.0,52.38,52.5,50.0,60.71
13,ATL,51.22,58.54,43.9,50.0,54.17,46.34,56.1,43.75,64.52
14,POR,51.22,65.85,36.59,36.36,56.67,56.1,46.34,40.0,54.29
15,DET,47.56,56.1,39.02,46.55,50.0,40.91,55.26,50.0,38.71
16,IND,42.68,60.98,24.39,39.66,50.0,44.19,41.03,62.5,37.5
17,CHI,41.46,53.66,29.27,37.93,50.0,41.86,41.03,31.82,38.89
18,NYK,40.24,46.34,34.15,37.93,45.83,45.45,34.21,42.86,38.24
19,KCK,36.59,56.1,17.07,36.36,36.67,32.56,41.03,66.67,28.57
20,DAL,34.15,39.02,29.27,40.91,31.67,30.95,37.5,52.94,22.58
21,UTA,30.49,43.9,17.07,18.18,35.0,30.95,30.0,30.0,19.51
22,SDC,20.73,26.83,14.63,9.09,25.0,30.23,10.26,28.57,10.81
23,CLE,18.29,21.95,14.63,10.34,37.5,19.05,17.5,23.53,5.41
