Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Milwaukee Bucks,70.73,78.05,63.41,67.31,76.67,70.69,70.83,85.71,66.67
2,Boston Celtics,69.51,78.05,60.98,65.38,76.67,71.19,65.22,38.46,73.81
3,Philadelphia 76ers,65.85,70.73,60.98,65.38,66.67,66.67,64.0,66.67,70.27
4,Denver Nuggets,64.63,82.93,46.34,63.33,65.38,69.49,52.17,53.85,65.91
5,Cleveland Cavaliers,62.2,75.61,48.78,65.38,56.67,62.3,61.9,38.46,75.0
6,Memphis Grizzlies,62.2,85.37,39.02,70.0,57.69,61.4,64.0,33.33,64.58
7,Sacramento Kings,58.54,56.1,60.98,53.33,61.54,56.14,64.0,56.25,59.38
8,New York Knicks,57.32,56.1,58.54,61.54,50.0,55.0,63.64,71.43,63.89
9,Brooklyn Nets,54.88,56.1,53.66,57.69,50.0,58.62,45.83,71.43,56.41
10,Phoenix Suns,54.88,68.29,41.46,50.0,57.69,53.33,59.09,30.77,62.22
11,Golden State Warriors,53.66,80.49,26.83,46.67,57.69,50.0,62.5,33.33,60.0
12,Los Angeles Clippers,53.66,56.1,51.22,56.67,51.92,54.1,52.38,40.0,48.78
13,Miami Heat,53.66,65.85,41.46,46.15,66.67,54.24,52.17,63.64,48.0
14,Los Angeles Lakers,52.44,56.1,48.78,53.33,51.92,45.76,69.57,61.54,50.0
15,Minnesota Timberwolves,51.22,53.66,48.78,43.33,55.77,50.82,52.38,46.15,48.39
16,New Orleans Pelicans,51.22,65.85,36.59,43.33,55.77,50.85,52.17,40.0,55.56
17,Atlanta Hawks,50.0,58.54,41.46,50.0,50.0,49.15,52.17,58.82,55.88
18,Toronto Raptors,50.0,65.85,34.15,50.0,50.0,47.46,56.52,28.57,58.97
19,Chicago Bulls,48.78,53.66,43.9,51.92,43.33,44.07,60.87,36.36,55.81
20,Oklahoma City Thunder,48.78,58.54,39.02,50.0,48.08,49.12,48.0,50.0,58.33
21,Dallas Mavericks,46.34,56.1,36.59,33.33,53.85,51.67,31.82,40.0,47.83
22,Utah Jazz,45.12,56.1,34.15,43.33,46.15,48.33,36.36,55.56,44.83
23,Indiana Pacers,42.68,48.78,36.59,46.15,36.67,43.33,40.91,53.33,26.47
24,Washington Wizards,42.68,46.34,39.02,40.38,46.67,48.28,29.17,53.85,47.5
25,Orlando Magic,41.46,48.78,34.15,38.46,46.67,40.68,43.48,45.45,40.0
26,Portland Trail Blazers,40.24,41.46,39.02,33.33,44.23,48.28,20.83,53.33,39.13
27,Charlotte Hornets,32.93,31.71,34.15,28.85,40.0,28.33,45.45,50.0,18.6
28,Houston Rockets,26.83,34.15,19.51,33.33,23.08,22.41,37.5,55.56,14.29
29,San Antonio Spurs,26.83,34.15,19.51,40.0,19.23,23.73,34.78,50.0,12.5
30,Detroit Pistons,20.73,21.95,19.51,15.38,30.0,25.42,8.7,20.0,13.95
