Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,San Antonio Spurs,37-13,21-4,16-9,4-2,33-11,20-10,17-3,4-2,22-5
2,Utah Jazz,37-13,22-3,15-10,4-2,33-11,21-8,16-5,3-4,22-5
3,Portland Trail Blazers,35-15,22-3,13-12,5-1,30-14,24-6,11-9,3-5,19-5
4,Indiana Pacers,33-17,18-7,15-10,30-15,3-2,20-10,13-7,7-8,12-4
5,Miami Heat,33-17,18-7,15-10,30-15,3-2,19-9,14-8,4-5,18-7
6,Orlando Magic,33-17,21-4,12-13,30-14,3-3,22-10,11-7,6-2,12-10
7,Atlanta Hawks,31-19,16-9,15-10,27-18,4-1,19-12,12-7,5-3,15-6
8,Houston Rockets,31-19,19-6,12-13,3-3,28-16,22-9,9-10,3-2,20-12
9,Los Angeles Lakers,31-19,18-7,13-12,3-3,28-16,21-11,10-8,3-3,16-8
10,Detroit Pistons,29-21,17-8,12-13,25-19,4-2,19-12,10-9,4-3,13-7
11,Milwaukee Bucks,28-22,17-8,11-14,25-20,3-2,18-12,10-10,6-6,9-6
12,Philadelphia 76ers,28-22,17-8,11-14,25-19,3-3,15-14,13-8,1-3,13-8
13,New York Knicks,27-23,19-6,8-17,24-21,3-2,17-14,10-9,3-6,12-7
14,Phoenix Suns,27-23,15-10,12-13,1-5,26-18,15-16,12-7,2-4,11-8
15,Sacramento Kings,27-23,16-9,11-14,4-2,23-21,14-18,13-5,7-2,9-14
16,Charlotte Hornets,26-24,16-9,10-15,23-21,3-3,12-17,14-7,8-2,7-9
17,Minnesota Timberwolves,25-25,18-7,7-18,3-3,22-22,17-13,8-12,1-2,13-10
18,Seattle SuperSonics,25-25,17-8,8-17,2-4,23-21,15-14,10-11,7-4,11-10
19,Toronto Raptors,23-27,14-11,9-16,19-26,4-1,15-14,8-13,5-4,12-16
20,Cleveland Cavaliers,22-28,15-10,7-18,18-26,4-2,14-14,8-14,2-0,11-15
21,Golden State Warriors,21-29,13-12,8-17,3-3,18-26,13-17,8-12,3-4,6-13
22,Boston Celtics,19-31,10-15,9-16,16-28,3-3,10-19,9-12,3-6,10-18
23,Dallas Mavericks,19-31,15-10,4-21,3-3,16-28,10-22,9-9,1-4,9-16
24,Washington Wizards,18-32,13-12,5-20,16-28,2-4,13-17,5-15,3-6,10-14
25,New Jersey Nets,16-34,12-13,4-21,14-30,2-4,5-24,11-10,2-4,9-16
26,Denver Nuggets,14-36,12-13,2-23,2-4,12-32,8-23,6-13,5-0,5-19
27,Chicago Bulls,13-37,8-17,5-20,11-33,2-4,9-21,4-16,4-2,5-22
28,Los Angeles Clippers,9-41,6-19,3-22,1-5,8-36,3-26,6-15,1-5,3-24
29,Vancouver Grizzlies,8-42,7-18,1-24,0-6,8-36,6-24,2-18,1-6,2-22
