Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Oklahoma City Thunder,68-14,36-6,32-8,29-1,39-13,44-10,24-4,1-4,54-5
2,Cleveland Cavaliers,64-18,34-7,30-11,41-11,23-7,44-10,20-8,5-4,41-7
3,Boston Celtics,61-21,28-13,33-8,39-13,22-8,39-16,22-5,8-3,41-7
4,Houston Rockets,52-30,29-12,23-18,21-9,31-21,34-21,18-9,8-5,26-12
5,New York Knicks,51-31,27-14,24-17,34-18,17-13,36-18,15-13,7-3,31-19
6,Denver Nuggets,50-32,26-15,24-17,18-12,32-20,36-19,14-13,8-6,31-17
7,Indiana Pacers,50-32,29-12,21-20,29-22,21-10,30-23,20-9,6-2,25-17
8,Los Angeles Clippers,50-32,30-11,20-21,21-9,29-23,31-23,19-9,5-7,32-13
9,Los Angeles Lakers,50-32,31-10,19-22,14-16,36-16,32-20,18-12,4-6,22-21
10,Minnesota Timberwolves,49-33,25-16,24-17,16-14,33-19,31-25,18-8,11-11,31-9
11,Golden State Warriors,48-34,24-17,24-17,19-11,29-23,28-27,20-7,6-6,26-15
12,Memphis Grizzlies,48-34,26-15,22-19,21-10,27-24,36-18,12-16,9-6,31-15
13,Milwaukee Bucks,48-34,28-14,20-20,31-21,17-13,29-24,19-10,5-9,25-19
14,Detroit Pistons,44-38,22-19,22-19,29-23,15-15,29-26,15-12,8-6,23-17
15,Orlando Magic,41-41,22-19,19-22,31-21,10-20,27-29,14-12,4-7,22-20
16,Atlanta Hawks,40-42,21-19,19-23,30-22,10-20,26-29,14-13,8-6,20-21
17,Sacramento Kings,40-42,20-21,20-21,14-16,26-26,28-27,12-15,4-9,22-19
18,Chicago Bulls,39-43,18-23,21-20,28-24,11-19,22-33,17-10,6-4,23-26
19,Dallas Mavericks,39-43,22-18,17-25,16-14,23-29,30-26,9-17,5-8,17-24
20,Miami Heat,37-45,19-22,18-23,24-28,13-17,25-28,12-17,3-11,22-18
21,Phoenix Suns,36-46,24-17,12-29,14-16,22-30,26-28,10-18,7-5,13-26
22,Portland Trail Blazers,36-46,22-19,14-27,17-13,19-33,23-32,13-14,7-4,19-30
23,San Antonio Spurs,34-48,20-21,14-27,12-18,22-30,23-29,11-19,7-7,17-32
24,Toronto Raptors,30-52,18-23,12-29,21-31,9-21,17-38,13-14,7-9,16-28
25,Brooklyn Nets,26-56,12-29,14-27,14-37,12-19,20-34,6-22,8-7,7-32
26,Philadelphia 76ers,24-58,12-29,12-29,15-37,9-21,20-34,4-24,4-4,10-35
27,New Orleans Pelicans,21-61,14-27,7-34,8-23,13-38,13-42,8-19,3-8,6-38
28,Charlotte Hornets,19-63,12-29,7-34,10-42,9-21,13-39,6-24,8-7,5-39
29,Washington Wizards,18-64,8-33,10-31,13-39,5-25,9-45,9-19,7-2,5-53
30,Utah Jazz,17-65,10-31,7-34,9-21,8-44,13-41,4-24,5-8,8-37
