Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Indiana Pacers,61-21,34-7,27-14,41-13,20-8,39-14,22-7,7-6,30-8
2,Minnesota Timberwolves,58-24,31-10,27-14,24-6,34-18,37-15,21-9,6-6,34-6
3,San Antonio Spurs,57-25,33-8,24-17,22-8,35-17,35-18,22-7,6-8,38-5
4,Los Angeles Lakers,56-26,34-7,22-19,25-5,31-21,31-19,25-7,14-5,24-16
5,Sacramento Kings,55-27,34-7,21-20,24-6,31-21,37-13,18-14,5-4,29-9
6,Detroit Pistons,54-28,31-10,23-18,37-17,17-11,33-21,21-7,6-12,30-4
7,Dallas Mavericks,52-30,36-5,16-25,19-11,33-19,33-19,19-11,8-7,30-14
8,Memphis Grizzlies,50-32,31-10,19-22,22-8,28-24,30-22,20-10,10-6,18-7
9,New Jersey Nets,47-35,28-13,19-22,34-20,13-15,31-20,16-15,3-7,33-17
10,Houston Rockets,45-37,27-14,18-23,24-6,21-31,30-22,15-15,8-6,21-13
11,Denver Nuggets,43-39,29-12,14-27,14-16,29-23,31-23,12-16,3-9,23-19
12,Miami Heat,42-40,29-12,13-28,30-24,12-16,22-32,20-8,6-7,20-21
13,Utah Jazz,42-40,28-13,14-27,17-13,25-27,26-27,16-13,6-1,15-22
14,Milwaukee Bucks,41-41,27-14,14-27,33-21,8-20,27-24,14-17,5-6,16-9
15,New Orleans Hornets,41-41,25-16,16-25,30-24,11-17,28-24,13-17,9-5,18-17
16,Portland Trail Blazers,41-41,25-16,16-25,19-11,22-30,24-27,17-14,8-5,11-21
17,New York Knicks,39-43,23-18,16-25,31-23,8-20,25-29,14-14,6-6,16-22
18,Golden State Warriors,37-45,27-14,10-31,14-16,23-29,23-28,14-17,7-7,16-21
19,Seattle SuperSonics,37-45,21-20,16-25,15-15,22-30,25-27,12-18,6-7,17-23
20,Boston Celtics,36-46,19-22,17-24,24-30,12-16,23-31,13-15,10-9,11-18
21,Cleveland Cavaliers,35-47,23-18,12-29,29-25,6-22,20-33,15-14,8-4,11-25
22,Philadelphia 76ers,33-49,21-20,12-29,23-31,10-18,22-31,11-18,6-6,13-23
23,Toronto Raptors,33-49,18-23,15-26,22-32,11-17,25-26,8-23,10-10,9-22
24,Phoenix Suns,29-53,18-23,11-30,13-17,16-36,18-37,11-16,5-5,9-26
25,Atlanta Hawks,28-54,18-23,10-31,19-35,9-19,18-35,10-19,2-9,12-26
26,Los Angeles Clippers,28-54,18-23,10-31,14-16,14-38,22-29,6-25,9-5,12-25
27,Washington Wizards,25-57,17-24,8-33,16-38,9-19,16-34,9-23,3-4,13-34
28,Chicago Bulls,23-59,14-27,9-32,19-35,4-24,15-38,8-21,2-5,8-32
29,Orlando Magic,21-61,11-30,10-31,17-37,4-24,13-41,8-20,3-10,5-37
