Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Boston Celtics,66-16,35-6,31-10,41-11,25-5,41-9,25-7,7-6,45-3
2,Detroit Pistons,59-23,34-7,25-16,37-15,22-8,39-13,20-10,5-3,37-10
3,Los Angeles Lakers,57-25,30-11,27-14,20-10,37-15,35-17,22-8,5-8,37-9
4,New Orleans Hornets,56-26,30-11,26-15,22-8,34-18,36-15,20-11,8-4,37-15
5,San Antonio Spurs,56-26,34-7,22-19,23-7,33-19,34-17,22-9,8-6,31-11
6,Houston Rockets,55-27,31-10,24-17,22-8,33-19,32-20,23-7,9-3,31-11
7,Phoenix Suns,55-27,30-11,25-16,24-6,31-21,37-16,18-11,3-5,31-9
8,Utah Jazz,54-28,37-4,17-24,21-9,33-19,34-19,20-9,4-3,37-14
9,Orlando Magic,52-30,25-16,27-14,38-14,14-16,33-21,19-9,6-6,34-12
10,Dallas Mavericks,51-31,34-7,17-24,18-12,33-19,35-18,16-13,5-6,29-11
11,Denver Nuggets,50-32,33-8,17-24,19-11,31-21,32-20,18-12,6-6,29-18
12,Golden State Warriors,48-34,27-14,21-20,20-10,28-24,32-20,16-14,9-2,22-14
13,Cleveland Cavaliers,45-37,27-14,18-23,28-24,17-13,29-23,16-14,10-8,10-17
14,Washington Wizards,43-39,25-16,18-23,29-23,14-16,25-27,18-12,5-9,26-19
15,Toronto Raptors,41-41,25-16,16-25,29-23,12-18,28-23,13-18,3-3,26-16
16,Portland Trail Blazers,41-41,28-13,13-28,15-15,26-26,28-24,13-17,10-2,15-22
17,Philadelphia 76ers,40-42,22-19,18-23,25-27,15-15,23-30,17-12,4-8,18-20
18,Sacramento Kings,38-44,26-15,12-29,17-13,21-31,23-28,15-16,10-8,17-23
19,Atlanta Hawks,37-45,25-16,12-29,24-28,13-17,22-28,15-17,6-5,11-24
20,Indiana Pacers,36-46,21-20,15-26,24-28,12-18,21-32,15-14,4-3,14-22
21,New Jersey Nets,34-48,21-20,13-28,26-26,8-22,23-30,11-18,7-3,8-31
22,Chicago Bulls,33-49,20-21,13-28,24-28,9-21,21-31,12-18,4-3,19-29
23,Charlotte Bobcats,32-50,21-20,11-30,19-33,13-17,19-34,13-16,8-6,12-24
24,Milwaukee Bucks,26-56,19-22,7-34,18-34,8-22,19-34,7-22,6-9,5-29
25,Los Angeles Clippers,23-59,13-28,10-31,10-20,13-39,17-33,6-26,2-5,10-35
26,New York Knicks,23-59,15-26,8-33,20-32,3-27,15-37,8-22,4-5,6-33
27,Memphis Grizzlies,22-60,14-27,8-33,11-19,11-41,14-38,8-22,2-11,10-37
28,Minnesota Timberwolves,22-60,15-26,7-34,8-22,14-38,10-41,12-19,4-8,8-35
29,Seattle SuperSonics,20-62,13-28,7-34,8-22,12-40,13-38,7-24,5-7,5-37
30,Miami Heat,15-67,9-32,6-35,8-44,7-23,9-43,6-24,3-11,4-34
