Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Dallas Mavericks,60-22,33-8,27-14,26-4,34-18,38-10,22-12,6-7,36-6
2,San Antonio Spurs,60-22,33-8,27-14,24-6,36-16,33-16,27-6,12-5,26-6
3,Sacramento Kings,59-23,35-6,24-17,23-7,36-16,34-17,25-6,11-2,31-11
4,Minnesota Timberwolves,51-31,33-8,18-23,18-12,33-19,29-20,22-11,5-3,21-15
5,Detroit Pistons,50-32,30-11,20-21,35-19,15-13,32-15,18-17,10-9,27-11
6,Los Angeles Lakers,50-32,31-10,19-22,17-13,33-19,24-23,26-9,8-5,26-14
7,Portland Trail Blazers,50-32,27-14,23-18,21-9,29-23,32-16,18-16,8-7,25-12
8,New Jersey Nets,49-33,33-8,16-25,34-20,15-13,34-15,15-18,2-7,31-8
9,Indiana Pacers,48-34,32-9,16-25,35-19,13-15,34-15,14-19,9-7,23-14
10,Philadelphia 76ers,48-34,25-16,23-18,35-19,13-15,25-24,23-10,8-6,20-12
11,New Orleans Hornets,47-35,29-12,18-23,32-22,15-13,26-24,21-11,7-7,19-11
12,Utah Jazz,47-35,29-12,18-23,17-13,30-22,29-20,18-15,6-8,28-17
13,Boston Celtics,44-38,25-16,19-22,31-23,13-15,27-22,17-16,6-7,18-19
14,Phoenix Suns,44-38,30-11,14-27,18-12,26-26,29-21,15-17,7-8,16-16
15,Houston Rockets,43-39,28-13,15-26,17-13,26-26,26-22,17-17,3-10,24-17
16,Milwaukee Bucks,42-40,25-16,17-24,32-22,10-18,25-23,17-17,6-9,13-15
17,Orlando Magic,42-40,26-15,16-25,31-23,11-17,24-26,18-14,8-9,19-16
18,Seattle SuperSonics,40-42,25-16,15-26,14-16,26-26,21-27,19-15,7-10,15-17
19,Golden State Warriors,38-44,24-17,14-27,19-11,19-33,21-27,17-17,3-6,13-19
20,New York Knicks,37-45,24-17,13-28,23-31,14-14,21-27,16-18,9-11,8-14
21,Washington Wizards,37-45,23-18,14-27,26-28,11-17,24-25,13-20,10-6,11-18
22,Atlanta Hawks,35-47,26-15,9-32,24-30,11-17,19-30,16-17,10-8,11-28
23,Chicago Bulls,30-52,27-14,3-38,22-32,8-20,17-32,13-20,6-5,12-34
24,Memphis Grizzlies,28-54,20-21,8-33,16-14,12-40,13-35,15-19,5-7,14-23
25,Los Angeles Clippers,27-55,16-25,11-30,11-19,16-36,17-32,10-23,9-7,9-24
26,Miami Heat,25-57,16-25,9-32,18-36,7-21,17-32,8-25,4-6,12-27
27,Toronto Raptors,24-58,15-26,9-32,18-36,6-22,14-34,10-24,7-7,6-30
28,Cleveland Cavaliers,17-65,14-27,3-38,9-45,8-20,10-40,7-25,6-5,6-38
29,Denver Nuggets,17-65,13-28,4-37,9-21,8-44,12-37,5-28,4-8,9-37
