Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Detroit Pistons,63-19,37-4,26-15,41-15,22-4,31-13,32-6,6-4,33-10
2,Cleveland Cavaliers,57-25,37-4,20-21,38-18,19-7,35-11,22-14,6-7,39-9
3,Los Angeles Lakers,57-25,35-6,22-19,14-10,43-15,32-15,25-10,9-7,35-10
4,Phoenix Suns,55-27,35-6,20-21,14-10,41-17,29-17,26-10,5-4,33-14
5,Atlanta Hawks,52-30,33-8,19-22,38-18,14-12,28-19,24-11,10-9,29-12
6,New York Knicks,52-30,35-6,17-24,36-20,16-10,32-16,20-14,8-7,27-13
7,Utah Jazz,51-31,34-7,17-24,14-10,37-21,28-20,23-11,6-7,36-15
8,Milwaukee Bucks,49-33,31-10,18-23,29-27,20-6,30-15,19-18,1-7,31-15
9,Chicago Bulls,47-35,30-11,17-24,28-28,19-7,27-19,20-16,9-4,21-16
10,Seattle SuperSonics,47-35,31-10,16-25,10-14,37-21,28-18,19-17,9-7,21-15
11,Philadelphia 76ers,46-36,30-11,16-25,31-25,15-11,26-20,20-16,9-5,23-14
12,Houston Rockets,45-37,31-10,14-27,12-12,33-25,28-18,17-19,9-10,22-17
13,Denver Nuggets,44-38,35-6,9-32,12-12,32-26,25-23,19-15,7-9,25-20
14,Golden State Warriors,43-39,29-12,14-27,14-10,29-29,25-20,18-19,5-6,20-21
15,Boston Celtics,42-40,32-9,10-31,27-29,15-11,23-23,19-17,5-7,22-19
16,Washington Bullets,40-42,30-11,10-31,25-31,15-11,17-28,23-14,8-5,12-23
17,Portland Trail Blazers,39-43,28-13,11-30,9-15,30-28,25-21,14-22,4-11,22-15
18,Dallas Mavericks,38-44,24-17,14-27,8-16,30-28,24-21,14-23,6-9,17-26
19,Indiana Pacers,28-54,20-21,8-33,15-41,13-13,11-35,17-19,6-9,11-25
20,Sacramento Kings,27-55,21-20,6-35,4-20,23-35,14-32,13-23,7-6,13-34
21,New Jersey Nets,26-56,17-24,9-32,16-40,10-16,18-29,8-27,7-8,7-32
22,Los Angeles Clippers,21-61,17-24,4-37,4-20,17-41,11-37,10-24,8-7,6-39
23,San Antonio Spurs,21-61,18-23,3-38,6-18,15-43,13-33,8-28,2-6,14-38
24,Charlotte Hornets,20-62,12-29,8-33,12-44,8-18,13-35,7-27,9-4,5-36
25,Miami Heat,15-67,12-29,3-38,5-19,10-48,5-40,10-27,8-4,3-39
