Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Boston Celtics,67-15,40-1,27-14,48-10,19-5,38-8,29-7,5-5,40-3
2,Los Angeles Lakers,62-20,35-6,27-14,15-7,47-13,37-11,25-9,7-4,34-9
3,Milwaukee Bucks,57-25,33-8,24-17,39-19,18-6,33-18,24-7,4-10,39-7
4,Philadelphia 76ers,54-28,31-10,23-18,38-20,16-8,32-18,22-10,10-6,19-9
5,Houston Rockets,51-31,36-5,15-26,13-9,38-22,33-16,18-15,5-5,20-15
6,Atlanta Hawks,50-32,34-7,16-25,35-23,15-9,28-20,22-12,8-3,24-15
7,Denver Nuggets,47-35,34-7,13-28,13-9,34-26,30-21,17-14,9-5,23-18
8,Detroit Pistons,46-36,31-10,15-26,33-25,13-11,26-24,20-12,12-5,20-17
9,Dallas Mavericks,44-38,26-15,18-23,11-11,33-27,25-22,19-16,6-7,21-12
10,Utah Jazz,42-40,27-14,15-26,12-10,30-30,25-27,17-13,11-5,20-18
11,Portland Trail Blazers,40-42,27-14,13-28,9-13,31-29,29-24,11-18,7-6,23-17
12,New Jersey Nets,39-43,26-15,13-28,26-32,13-11,28-23,11-20,5-6,16-25
13,Washington Bullets,39-43,26-15,13-28,29-29,10-14,23-26,16-17,10-5,12-20
14,Sacramento Kings,37-45,25-16,12-29,9-13,28-32,20-30,17-15,7-8,11-25
15,San Antonio Spurs,35-47,21-20,14-27,10-12,25-35,27-25,8-22,4-10,16-23
16,Los Angeles Clippers,32-50,22-19,10-31,7-15,25-35,18-32,14-18,7-6,6-34
17,Phoenix Suns,32-50,23-18,9-32,7-15,25-35,20-28,12-22,7-7,19-27
18,Seattle SuperSonics,31-51,24-17,7-34,8-14,23-37,17-33,14-18,4-12,18-14
19,Chicago Bulls,30-52,22-19,8-33,19-39,11-13,17-34,13-18,6-4,11-27
20,Golden State Warriors,30-52,24-17,6-35,9-13,21-39,15-37,15-15,7-8,11-24
21,Cleveland Cavaliers,29-53,16-25,13-28,19-39,10-14,18-31,11-22,3-9,16-25
22,Indiana Pacers,26-56,19-22,7-34,19-39,7-17,16-33,10-23,1-7,18-28
23,New York Knicks,23-59,15-26,8-33,14-44,9-15,18-32,5-27,3-5,8-33
